score,n_trades,net_profit,profit_factor,win_rate_%,max_drawdown_usdt,timeframe,ema_fast,ema_slow,min_atr_pct,k_sl,k_tp1,k_tp2,k_tp3,p1,p2,p3,trail_act_%,trail_dist_%,symbols
-0.0,9,-1692.3402151195417,0.0,0.0,1692.3402151195417,5m,50,150,0.08,0.8,0.6,1.2,2.5,0.4,0.3,0.2,0.8,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1688.1193540451964,0.0,0.0,1688.1193540451964,5m,50,150,0.08,0.8,0.6,1.2,2.5,0.4,0.3,0.3,0.3,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1688.1193540451964,0.0,0.0,1688.1193540451964,5m,50,150,0.08,0.8,0.6,1.2,2.5,0.4,0.3,0.3,0.3,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1688.1193540451964,0.0,0.0,1688.1193540451964,5m,50,150,0.08,0.8,0.6,1.2,2.5,0.4,0.3,0.3,0.5,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1688.1193540451964,0.0,0.0,1688.1193540451964,5m,50,150,0.08,0.8,0.6,1.2,2.5,0.4,0.3,0.3,0.5,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1688.1193540451964,0.0,0.0,1688.1193540451964,5m,50,150,0.08,0.8,0.6,1.2,2.5,0.4,0.3,0.3,0.8,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1688.1193540451964,0.0,0.0,1688.1193540451964,5m,50,150,0.08,0.8,0.6,1.2,2.5,0.4,0.3,0.3,0.8,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1738.584534910499,0.0,0.0,1738.5845349104989,5m,50,150,0.08,0.8,0.6,1.2,2.5,0.5,0.3,0.2,0.3,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1738.584534910499,0.0,0.0,1738.5845349104989,5m,50,150,0.08,0.8,0.6,1.2,2.5,0.5,0.3,0.2,0.3,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1738.584534910499,0.0,0.0,1738.5845349104989,5m,50,150,0.08,0.8,0.6,1.2,2.5,0.5,0.3,0.2,0.5,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1738.584534910499,0.0,0.0,1738.5845349104989,5m,50,150,0.08,0.8,0.6,1.2,2.5,0.5,0.3,0.2,0.5,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1738.584534910499,0.0,0.0,1738.5845349104989,5m,50,150,0.08,0.8,0.6,1.2,2.5,0.5,0.3,0.2,0.8,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1738.584534910499,0.0,0.0,1738.5845349104989,5m,50,150,0.08,0.8,0.6,1.2,2.5,0.5,0.3,0.2,0.8,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1680.2538616099403,0.0,0.0,1680.2538616099403,5m,50,150,0.08,0.8,0.6,1.2,3.0,0.4,0.3,0.2,0.3,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1680.2538616099403,0.0,0.0,1680.2538616099403,5m,50,150,0.08,0.8,0.6,1.2,3.0,0.4,0.3,0.2,0.3,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1680.2538616099403,0.0,0.0,1680.2538616099403,5m,50,150,0.08,0.8,0.6,1.2,3.0,0.4,0.3,0.2,0.5,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1680.2538616099403,0.0,0.0,1680.2538616099403,5m,50,150,0.08,0.8,0.6,1.2,3.0,0.4,0.3,0.2,0.5,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1680.2538616099403,0.0,0.0,1680.2538616099403,5m,50,150,0.08,0.8,0.6,1.2,3.0,0.4,0.3,0.2,0.8,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
