score,n_trades,net_profit,profit_factor,win_rate_%,max_drawdown_usdt,timeframe,ema_fast,ema_slow,min_atr_pct,k_sl,k_tp1,k_tp2,k_tp3,p1,p2,p3,trail_act_%,trail_dist_%,symbols
-1000000000.0,1,56.38790433666395,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.4,0.3,0.3,0.5,0.4,ETH/USDT
-1000000000.0,1,64.71524907390756,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.4,0.3,0.3,0.8,0.2,ETH/USDT
-1000000000.0,1,60.55157670528712,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.4,0.3,0.3,0.8,0.3,ETH/USDT
-1000000000.0,1,56.38790433666395,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.4,0.3,0.3,0.8,0.4,ETH/USDT
-1000000000.0,1,70.501513193954,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.4,0.3,0.3,1.0,0.2,ETH/USDT
-1000000000.0,1,66.3320429654904,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.4,0.3,0.3,1.0,0.3,ETH/USDT
-1000000000.0,1,62.16257273703228,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.4,0.3,0.3,1.0,0.4,ETH/USDT
-1000000000.0,1,65.77410946793057,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.4,0.4,0.2,0.5,0.2,ETH/USDT
-1000000000.0,1,62.99832788885118,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.4,0.4,0.2,0.5,0.3,ETH/USDT
-1000000000.0,1,60.22254630976908,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.4,0.4,0.2,0.5,0.4,ETH/USDT
-1000000000.0,1,65.77410946793057,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.4,0.4,0.2,0.8,0.2,ETH/USDT
-1000000000.0,1,62.99832788885118,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.4,0.4,0.2,0.8,0.3,ETH/USDT
-1000000000.0,1,60.22254630976908,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.4,0.4,0.2,0.8,0.4,ETH/USDT
-1000000000.0,1,69.63161888129667,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.4,0.4,0.2,1.0,0.2,ETH/USDT
-1000000000.0,1,66.85197206232095,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.4,0.4,0.2,1.0,0.3,ETH/USDT
-1000000000.0,1,64.07232524334796,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.4,0.4,0.2,1.0,0.4,ETH/USDT
-1000000000.0,1,60.299867701412076,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.5,0.2,ETH/USDT
-1000000000.0,1,57.524086122329976,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.5,0.3,ETH/USDT
-1000000000.0,1,54.74830454324787,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.5,0.4,ETH/USDT
-1000000000.0,1,60.299867701412076,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.8,0.2,ETH/USDT
-1000000000.0,1,57.524086122329976,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.8,0.3,ETH/USDT
-1000000000.0,1,54.74830454324787,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.8,0.4,ETH/USDT
-1000000000.0,1,64.15737711477547,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.5,0.3,0.2,1.0,0.2,ETH/USDT
-1000000000.0,1,61.37773029579974,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.5,0.3,0.2,1.0,0.3,ETH/USDT
-1000000000.0,1,58.598083476826744,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.0,0.5,0.3,0.2,1.0,0.4,ETH/USDT
-1000000000.0,1,64.71524907390756,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.2,0.5,0.2,ETH/USDT
-1000000000.0,1,60.55157670528712,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.2,0.5,0.3,ETH/USDT
-1000000000.0,1,56.38790433666395,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.2,0.5,0.4,ETH/USDT
-1000000000.0,1,64.71524907390756,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.2,0.8,0.2,ETH/USDT
-1000000000.0,1,60.55157670528712,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.2,0.8,0.3,ETH/USDT
-1000000000.0,1,56.38790433666395,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.2,0.8,0.4,ETH/USDT
-1000000000.0,1,70.501513193954,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.2,1.0,0.2,ETH/USDT
-1000000000.0,1,66.3320429654904,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.2,1.0,0.3,ETH/USDT
-1000000000.0,1,62.16257273703228,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.2,1.0,0.4,ETH/USDT
-1000000000.0,1,64.71524907390756,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.3,0.5,0.2,ETH/USDT
-1000000000.0,1,60.55157670528712,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.3,0.5,0.3,ETH/USDT
-1000000000.0,1,56.38790433666395,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.3,0.5,0.4,ETH/USDT
-1000000000.0,1,64.71524907390756,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.3,0.8,0.2,ETH/USDT
-1000000000.0,1,60.55157670528712,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.3,0.8,0.3,ETH/USDT
-1000000000.0,1,56.38790433666395,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.3,0.8,0.4,ETH/USDT
-1000000000.0,1,70.501513193954,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.3,1.0,0.2,ETH/USDT
-1000000000.0,1,66.3320429654904,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.3,1.0,0.3,ETH/USDT
-1000000000.0,1,62.16257273703228,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.3,0.3,1.0,0.4,ETH/USDT
-1000000000.0,1,65.77410946793057,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.4,0.2,0.5,0.2,ETH/USDT
-1000000000.0,1,62.99832788885118,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.4,0.2,0.5,0.3,ETH/USDT
-1000000000.0,1,60.22254630976908,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.4,0.2,0.5,0.4,ETH/USDT
-1000000000.0,1,65.77410946793057,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.4,0.2,0.8,0.2,ETH/USDT
-1000000000.0,1,62.99832788885118,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.4,0.2,0.8,0.3,ETH/USDT
-1000000000.0,1,60.22254630976908,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.4,0.2,0.8,0.4,ETH/USDT
-1000000000.0,1,69.63161888129667,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.4,0.2,1.0,0.2,ETH/USDT
-1000000000.0,1,66.85197206232095,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.4,0.2,1.0,0.3,ETH/USDT
-1000000000.0,1,64.07232524334796,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.4,0.4,0.2,1.0,0.4,ETH/USDT
-1000000000.0,1,60.299867701412076,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.5,0.3,0.2,0.5,0.2,ETH/USDT
-1000000000.0,1,57.524086122329976,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.5,0.3,0.2,0.5,0.3,ETH/USDT
-1000000000.0,1,54.74830454324787,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.5,0.3,0.2,0.5,0.4,ETH/USDT
-1000000000.0,1,60.299867701412076,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.5,0.3,0.2,0.8,0.2,ETH/USDT
-1000000000.0,1,57.524086122329976,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.5,0.3,0.2,0.8,0.3,ETH/USDT
-1000000000.0,1,54.74830454324787,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.5,0.3,0.2,0.8,0.4,ETH/USDT
-1000000000.0,1,64.15737711477547,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.5,0.3,0.2,1.0,0.2,ETH/USDT
-1000000000.0,1,61.37773029579974,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.5,0.3,0.2,1.0,0.3,ETH/USDT
-1000000000.0,1,58.598083476826744,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,1.5,3.5,0.5,0.3,0.2,1.0,0.4,ETH/USDT
-1000000000.0,1,61.5386678918358,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.2,0.5,0.2,ETH/USDT
-1000000000.0,1,53.211323154589465,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.2,0.5,0.3,ETH/USDT
-1000000000.0,1,44.88397841734586,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.2,0.5,0.4,ETH/USDT
-1000000000.0,1,61.5386678918358,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.2,0.8,0.2,ETH/USDT
-1000000000.0,1,53.211323154589465,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.2,0.8,0.3,ETH/USDT
-1000000000.0,1,44.88397841734586,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.2,0.8,0.4,ETH/USDT
-1000000000.0,1,73.11119613192866,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.2,1.0,0.2,ETH/USDT
-1000000000.0,1,64.77225567500423,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.2,1.0,0.3,ETH/USDT
-1000000000.0,1,56.43331521808251,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.2,1.0,0.4,ETH/USDT
-1000000000.0,1,61.5386678918358,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.3,0.5,0.2,ETH/USDT
-1000000000.0,1,53.211323154589465,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.3,0.5,0.3,ETH/USDT
-1000000000.0,1,44.88397841734586,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.3,0.5,0.4,ETH/USDT
-1000000000.0,1,61.5386678918358,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.3,0.8,0.2,ETH/USDT
-1000000000.0,1,53.211323154589465,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.3,0.8,0.3,ETH/USDT
-1000000000.0,1,44.88397841734586,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.3,0.8,0.4,ETH/USDT
-1000000000.0,1,73.11119613192866,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.3,1.0,0.2,ETH/USDT
-1000000000.0,1,64.77225567500423,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.3,1.0,0.3,ETH/USDT
-1000000000.0,1,56.43331521808251,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.3,0.3,1.0,0.4,ETH/USDT
-1000000000.0,1,61.5386678918358,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.4,0.2,0.5,0.2,ETH/USDT
-1000000000.0,1,53.211323154589465,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.4,0.2,0.5,0.3,ETH/USDT
-1000000000.0,1,44.88397841734586,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.4,0.2,0.5,0.4,ETH/USDT
-1000000000.0,1,61.5386678918358,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.4,0.2,0.8,0.2,ETH/USDT
-1000000000.0,1,53.211323154589465,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.4,0.2,0.8,0.3,ETH/USDT
-1000000000.0,1,44.88397841734586,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.4,0.2,0.8,0.4,ETH/USDT
-1000000000.0,1,73.11119613192866,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.4,0.2,1.0,0.2,ETH/USDT
-1000000000.0,1,64.77225567500423,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.4,0.2,1.0,0.3,ETH/USDT
-1000000000.0,1,56.43331521808251,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.4,0.4,0.2,1.0,0.4,ETH/USDT
-1000000000.0,1,57.1232865193376,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.5,0.3,0.2,0.5,0.2,ETH/USDT
-1000000000.0,1,50.183832571635044,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.5,0.3,0.2,0.5,0.3,ETH/USDT
-1000000000.0,1,43.24437862393249,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.5,0.3,0.2,0.5,0.4,ETH/USDT
-1000000000.0,1,57.1232865193376,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.5,0.3,0.2,0.8,0.2,ETH/USDT
-1000000000.0,1,50.183832571635044,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.5,0.3,0.2,0.8,0.3,ETH/USDT
-1000000000.0,1,43.24437862393249,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.5,0.3,0.2,0.8,0.4,ETH/USDT
-1000000000.0,1,66.76706005275014,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.5,0.3,0.2,1.0,0.2,ETH/USDT
-1000000000.0,1,59.81794300531355,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.5,0.3,0.2,1.0,0.3,ETH/USDT
-1000000000.0,1,52.86882595787698,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,2.5,0.5,0.3,0.2,1.0,0.4,ETH/USDT
-1000000000.0,1,61.5386678918358,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,3.0,0.4,0.3,0.2,0.5,0.2,ETH/USDT
-1000000000.0,1,53.211323154589465,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,3.0,0.4,0.3,0.2,0.5,0.3,ETH/USDT
-1000000000.0,1,44.88397841734586,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,3.0,0.4,0.3,0.2,0.5,0.4,ETH/USDT
-1000000000.0,1,61.5386678918358,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,3.0,0.4,0.3,0.2,0.8,0.2,ETH/USDT
-1000000000.0,1,53.211323154589465,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,3.0,0.4,0.3,0.2,0.8,0.3,ETH/USDT
-1000000000.0,1,44.88397841734586,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,3.0,0.4,0.3,0.2,0.8,0.4,ETH/USDT
-1000000000.0,1,73.11119613192866,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,3.0,0.4,0.3,0.2,1.0,0.2,ETH/USDT
-1000000000.0,1,64.77225567500423,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,3.0,0.4,0.3,0.2,1.0,0.3,ETH/USDT
-1000000000.0,1,56.43331521808251,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,3.0,0.4,0.3,0.2,1.0,0.4,ETH/USDT
-1000000000.0,1,61.5386678918358,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,3.0,0.4,0.3,0.3,0.5,0.2,ETH/USDT
-1000000000.0,1,53.211323154589465,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,3.0,0.4,0.3,0.3,0.5,0.3,ETH/USDT
-1000000000.0,1,44.88397841734586,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,3.0,0.4,0.3,0.3,0.5,0.4,ETH/USDT
-1000000000.0,1,61.5386678918358,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,3.0,0.4,0.3,0.3,0.8,0.2,ETH/USDT
-1000000000.0,1,53.211323154589465,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,3.0,0.4,0.3,0.3,0.8,0.3,ETH/USDT
-1000000000.0,1,44.88397841734586,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,3.0,0.4,0.3,0.3,0.8,0.4,ETH/USDT
-1000000000.0,1,73.11119613192866,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,3.0,0.4,0.3,0.3,1.0,0.2,ETH/USDT
-1000000000.0,1,64.77225567500423,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,3.0,0.4,0.3,0.3,1.0,0.3,ETH/USDT
-1000000000.0,1,56.43331521808251,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,3.0,0.4,0.3,0.3,1.0,0.4,ETH/USDT
-1000000000.0,1,61.5386678918358,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,3.0,0.4,0.4,0.2,0.5,0.2,ETH/USDT
-1000000000.0,1,53.211323154589465,inf,100.0,0.0,15m,50,150,0.1,1.0,0.8,2.0,3.0,0.4,0.4,0.2,0.5,0.3,ETH/USDT
