score,n_trades,net_profit,profit_factor,win_rate_%,max_drawdown_usdt,timeframe,ema_fast,ema_slow,min_atr_pct,k_sl,k_tp1,k_tp2,k_tp3,p1,p2,p3,trail_act_%,trail_dist_%,symbols
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.3,1.5,1.0,2.0,3.0,0.5,0.3,0.2,0.8,0.2,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.3,1.5,1.0,2.0,3.0,0.5,0.3,0.2,0.8,0.3,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.5,0.2,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.5,0.3,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.8,0.2,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.0,0.8,1.5,3.0,0.5,0.3,0.2,0.8,0.3,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.0,0.8,2.0,3.0,0.5,0.3,0.2,0.5,0.2,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.0,0.8,2.0,3.0,0.5,0.3,0.2,0.5,0.3,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.0,0.8,2.0,3.0,0.5,0.3,0.2,0.8,0.2,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.0,0.8,2.0,3.0,0.5,0.3,0.2,0.8,0.3,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.0,1.0,1.5,3.0,0.5,0.3,0.2,0.5,0.2,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.0,1.0,1.5,3.0,0.5,0.3,0.2,0.5,0.3,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.0,1.0,1.5,3.0,0.5,0.3,0.2,0.8,0.2,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.0,1.0,1.5,3.0,0.5,0.3,0.2,0.8,0.3,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.0,1.0,2.0,3.0,0.5,0.3,0.2,0.5,0.2,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.0,1.0,2.0,3.0,0.5,0.3,0.2,0.5,0.3,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.0,1.0,2.0,3.0,0.5,0.3,0.2,0.8,0.2,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.0,1.0,2.0,3.0,0.5,0.3,0.2,0.8,0.3,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.5,0.8,1.5,3.0,0.5,0.3,0.2,0.5,0.2,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.5,0.8,1.5,3.0,0.5,0.3,0.2,0.5,0.3,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.5,0.8,1.5,3.0,0.5,0.3,0.2,0.8,0.2,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.5,0.8,1.5,3.0,0.5,0.3,0.2,0.8,0.3,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.5,0.8,2.0,3.0,0.5,0.3,0.2,0.5,0.2,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.5,0.8,2.0,3.0,0.5,0.3,0.2,0.5,0.3,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.5,0.8,2.0,3.0,0.5,0.3,0.2,0.8,0.2,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.5,0.8,2.0,3.0,0.5,0.3,0.2,0.8,0.3,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.5,1.0,1.5,3.0,0.5,0.3,0.2,0.5,0.2,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.5,1.0,1.5,3.0,0.5,0.3,0.2,0.5,0.3,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.5,1.0,1.5,3.0,0.5,0.3,0.2,0.8,0.2,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.5,1.0,1.5,3.0,0.5,0.3,0.2,0.8,0.3,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.5,1.0,2.0,3.0,0.5,0.3,0.2,0.5,0.2,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.5,1.0,2.0,3.0,0.5,0.3,0.2,0.5,0.3,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.5,1.0,2.0,3.0,0.5,0.3,0.2,0.8,0.2,ETH/USDT;SOL/USDT
-1000000000.0,0,0.0,0.0,0.0,0.0,5m,50,200,0.5,1.5,1.0,2.0,3.0,0.5,0.3,0.2,0.8,0.3,ETH/USDT;SOL/USDT
